modCodeStr,dbCodeStr,season,exportDate,fips_st,ID,mean,sd,q_025,q_5,q_975,mode,y,y1
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,47,220,3.858734495300241,0.011132333967413484,3.836658844823757,3.8589866658376524,3.87840939691889,3.859091925114424,46.4259174580047,3.859168861084768
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,48,221,2.981414892748121,0.011084833379177195,2.959918429502905,2.9815251078514633,3.0014808189843745,2.9815600347685454,18.7184423344849,2.9815543569312006
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,49,222,2.604281051763377,0.011165077120995305,2.581912843654057,2.6045926089094427,2.6238028236162214,2.604725120709769,12.5289336064554,2.604830622110874
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,51,223,2.7181074951859747,0.011068384099736305,2.697038830769705,2.718111503078625,2.7384920131726664,2.7180941113459225,14.1504303053583,2.718028934545968
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,50,224,1.0620964765348007,0.011074176851995151,1.0416401153522774,1.0619491578683542,1.0829941940414094,1.061853845289477,1.89129777974096,1.0617054600615383
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,53,225,2.578735161772665,0.011106533845135746,2.5569394920604265,2.5789188859202055,2.598597076882878,2.578988020733561,12.184248711564,2.579022837640576
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,55,226,2.344365548993323,0.011084460654271697,2.3228715921313223,2.3444757128413674,2.3644321816536453,2.3445114727755834,9.42813468352906,2.344507411554503
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,54,227,2.760827022882868,0.011080999377560127,2.739403019384412,2.7609191058024796,2.7809455652108217,2.7609449415124256,14.8145202815923,2.7609285231702883
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,7,2017-09-16,56,228,3.0723953769524512,0.011078253934774797,3.0510273310052227,3.072473490125107,3.092554625775204,3.0724928208942126,20.5951512464819,3.072468810161322
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,8,2017-09-16,01,229,3.5833047135202363,0.011132997464752884,3.561228637596323,3.583555834442843,3.60298371706527,3.583657882258886,35.0075966618584,3.583729934579818
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,8,2017-09-16,05,230,3.139354738605618,0.011113508298476467,3.1174824447818343,3.1395578645279474,3.159164390097716,3.139637666999886,22.0966043386462,3.1396856083954305
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,8,2017-09-16,04,231,3.219144044611535,0.011142974326406043,3.196971990350728,3.219415659521742,3.2387702268270515,3.2195282870179183,24.0184182064186,3.2196122818739
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,8,2017-09-16,06,232,3.5418392423146083,0.011103748389648649,3.5200854925675285,3.5420133528660176,3.561730457697951,3.5420778807772915,33.5396416570946,3.542107697942497
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,8,2017-09-16,08,233,4.373012760844517,0.011077330492590217,4.351681677792872,4.37308211438031,4.39320019483533,4.373097904853262,78.2866971038038,4.373070360518124
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,8,2017-09-16,09,234,3.120098386470405,0.011078009982697107,3.098736399197739,3.120175528719593,3.140262551003284,3.120194471935716,21.6502411645159,3.120170499312355
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,8,2017-09-16,10,235,3.236934319822205,0.011067630957569276,3.215929901673957,3.236922825438963,3.2573715529926734,3.236896835132249,24.4527200696296,3.236822616249217
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,8,2017-09-16,12,236,3.2638038489680516,0.01107587267268259,3.2425356371565606,3.2638568602287044,3.2840422466751282,3.2638625460472044,25.1493091138064,3.263822770039788
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,8,2017-09-16,13,237,4.172647828596492,0.011081799677053545,4.151211999905945,4.172742740300388,4.192759199727737,4.172769143070122,63.8938647557691,4.17275308543203
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,8,2017-09-16,19,238,3.455702806415735,0.011093698798914057,3.4340728914468333,3.4558458816958684,3.475675646791461,3.4558968206621796,30.6871175576658,3.4559102120924794
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,8,2017-09-16,16,239,2.3820026675139108,0.011073462066246837,2.3607965706013436,2.3820397993195757,2.402285229182917,2.38203824330221,9.82642713223491,2.3819901018949254
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,8,2017-09-16,17,240,3.126148584482277,0.011085951959850028,3.1046348509901334,3.126263002552301,3.1462037537752776,3.1262990478102477,21.7893804816738,3.126294659108985
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,8,2017-09-16,18,241,3.519744026831956,0.011097838424707141,3.4980607467381866,3.5199003419297332,3.539683407535933,3.519955868433516,32.783575380961,3.5199747489095414
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,8,2017-09-16,20,242,2.932431595839321,0.011099748912158303,2.9107197358414996,2.932594731708543,2.9523508308724935,2.9326537581244714,17.7778257563414,2.9326766926550256
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,8,2017-09-16,21,243,4.772188615055243,0.011068824734667337,4.751223928086356,4.772167359280111,4.792659101407266,4.772136906750554,117.162213685095,4.772058372687909
10a_iliSum_v1-3,_ilinDt_Octfit_span0.4_degree2,8,2017-09-16,22,244,3.7356201611581095,0.011074462246468894,3.7143628280474115,3.7356708293172836,3.755864586561652,3.735675998092638,40.9146674316046,3.7356358237055964
